,Round
7103,0
7555,0
1799,4
9485,0
6755,0
8318,0
12166,0
2817,6
2258,0
12171,0
2887,0
14527,0
12844,5
6584,7
2148,0
2353,0
8070,0
13357,0
9564,0
13355,0
14309,0
11878,4
7778,0
24,0
3346,0
7554,7
2373,6
13899,0
14283,7
7430,0
3053,3
2416,5
13397,3
12063,0
12620,3
11728,1
13885,0
6290,6
14218,0
12935,7
11360,0
11512,0
8442,0
14791,0
12122,0
3201,0
2199,0
7433,6
7813,0
13735,7
7801,0
12802,0
11886,0
3252,1
6373,0
12072,0
15072,0
13643,0
1996,0
1801,0
11459,3
11613,0
6535,2
14799,0
2595,3
6393,3
14055,0
14473,0
8609,0
11958,0
6801,0
2291,2
13779,0
13665,0
3138,3
2389,0
11707,0
14582,0
7444,0
6590,2
6861,0
13696,4
6978,0
12615,0
11659,0
7630,0
13803,0
6840,0
2108,0
11520,0
14606,1
2848,0
8364,0
2374,0
12505,0
6646,6
9476,3
8185,0
12283,0
11910,0
9540,0
9548,4
13506,0
7054,0
14742,2
3155,1
15099,0
12120,0
1920,5
11890,3
8527,0
14627,2
14685,0
2684,6
7689,4
13074,0
7661,0
14434,0
3061,0
15045,0
15189,0
14842,0
13935,0
3275,7
7972,0
13910,0
8312,0
14202,0
14560,4
8087,0
2463,1
14885,0
11517,0
2341,0
14872,0
7448,0
7237,1
8550,3
6325,0
14418,3
9220,0
7471,0
9303,5
3204,6
14502,0
3372,0
8308,4
8368,0
8317,0
15126,0
7522,2
14513,0
14251,0
8468,0
6403,0
14409,0
8041,0
9319,0
2541,0
2363,0
14020,0
6167,0
8529,0
12911,6
6564,0
14818,0
7272,0
14540,0
11602,0
11798,0
9421,5
2325,6
12274,0
12610,0
8068,0
6896,0
1891,0
15027,0
6289,0
14027,0
11760,0
12377,0
2479,0
8069,0
2001,0
2470,0
9049,6
6383,2
11607,0
7974,0
7383,5
1857,0
6150,3
8438,0
14525,0
7779,0
9450,0
13519,7
8085,0
9097,1
12658,0
1952,0
12154,3
11579,0
11329,0
2778,0
2837,0
2417,0
2393,0
7134,0
2678,0
13145,0
13586,0
13292,0
14215,0
9142,1
3257,0
12081,0
14955,0
2046,0
2613,0
6359,0
14678,0
12268,0
13454,0
12878,3
7683,0
13966,0
9410,0
8082,6
8531,0
13680,0
13077,6
7197,0
13600,0
1851,3
14315,0
11453,0
13594,0
1864,0
8206,0
13505,0
13980,0
14115,0
6914,0
14399,0
1607,2
13524,0
2246,6
9118,4
14173,0
12771,0
11497,0
7089,0
12686,2
7965,7
9126,3
12091,1
3177,0
8212,6
52,0
13012,0
2602,0
7156,0
8445,0
6390,0
1647,0
13029,1
8443,0
15033,0
7058,3
2277,0
2809,7
11685,0
14124,0
14403,0
15007,0
13762,0
11795,0
14553,0
6297,0
7572,1
8408,0
7208,0
12986,0
2882,0
14429,0
12266,0
7723,0
2339,0
12828,1
12108,0
11420,0
6497,6
12958,0
13068,0
11971,0
7981,0
9280,0
14820,0
9543,5
6869,0
3300,1
9155,2
12510,0
14383,0
8048,0
8129,6
2758,0
14284,0
40,0
14761,0
6270,3
7677,0
14645,6
7557,6
14447,0
12272,0
6703,0
8379,0
8536,0
6438,0
9282,7
14474,4
13444,0
13693,5
2008,0
1981,4
12230,0
2153,0
12571,7
3209,0
9228,0
13279,0
12754,0
3263,0
13996,0
13334,0
9489,6
12125,0
2643,0
11914,0
7720,1
14693,3
11742,3
1787,0
13057,0
7318,0
13141,5
11675,0
3336,0
12917,5
8421,0
13312,0
11818,0
8572,0
12500,0
11771,1
2157,0
11942,4
6129,0
14444,0
12282,0
2026,0
12111,0
8042,0
2087,0
6557,0
7645,0
9267,3
13406,0
6927,0
1923,0
9191,7
2376,0
7474,0
2637,0
13092,0
12037,0
2109,7
14058,0
13284,0
13765,0
13801,0
12748,0
12791,0
11766,3
7281,0
13967,0
13229,0
2784,0
9407,0
12650,0
7733,0
11634,5
11697,0
13667,0
9399,0
8126,0
14451,0
7886,7
11658,7
14333,4
14352,0
6897,0
11779,0
1605,0
9420,3
14471,0
6347,0
14694,0
12480,0
9055,0
12383,0
8398,0
11570,0
12315,0
7868,0
13896,0
8484,0
8419,0
11906,5
9198,0
11600,0
6681,0
6870,0
9586,0
2129,0
2923,0
8622,0
13221,0
6781,7
9537,0
12827,0
12740,0
14652,0
2266,0
2886,0
3255,0
6371,7
2586,0
6850,0
2402,0
9509,7
13923,0
11931,0
6966,0
14161,0
3018,0
8026,0
13071,0
9562,1
13096,0
13094,0
13782,0
12325,0
11998,0
6468,0
2241,0
14898,0
11278,0
14752,0
13248,0
13865,0
3264,0
3040,6
57,0
2899,0
14142,0
6994,0
11897,0
2075,0
3326,0
3200,0
2318,0
13660,4
9131,6
13228,0
3192,1
12765,0
1675,0
13225,5
9563,3
14938,0
2731,1
14570,2
7410,0
7520,2
2158,0
6515,0
14564,0
8365,0
12606,0
6812,2
13395,0
9406,3
2606,7
13271,0
2037,0
3269,0
3328,0
9512,4
14423,0
8027,2
11409,0
8542,0
1789,0
14801,0
9309,0
14884,1
9403,7
13259,0
2111,0
14397,0
15178,0
14565,0
7658,6
2542,0
9409,0
3154,0
14795,0
13170,0
7395,7
7265,1
7828,0
14646,3
13076,0
13551,0
8546,0
2608,0
13663,0
6370,3
9506,0
14887,0
12753,0
13697,3
7826,0
11945,5
13811,0
14832,0
1780,0
14984,0
8213,0
13625,0
13148,7
7143,0
13348,0
