,Round
13904,0
11866,0
12754,0
7400,0
6961,7
14785,0
12646,5
13080,0
14321,0
2861,0
9377,3
2497,0
6693,6
1922,0
12769,0
12785,0
8557,0
6792,0
95,0
12836,0
7764,0
14927,0
8464,0
2827,0
6968,0
6243,0
7689,4
2219,0
15171,2
7259,0
14744,5
3326,0
7796,0
15083,0
13876,0
7341,0
14745,0
8621,0
2802,2
13723,0
1859,0
2682,0
8337,0
12728,0
11951,0
14104,0
14206,0
11562,0
12540,3
12230,0
2475,0
3333,0
13818,0
11593,2
2026,0
14225,4
7881,0
1883,0
2463,1
15111,0
3174,0
37,2
12278,0
8171,0
12687,0
8216,0
12670,0
2728,0
12029,1
2047,0
6926,6
1877,1
11999,4
3253,0
7658,6
2941,0
14902,0
7398,4
7475,0
2514,0
3056,0
11964,7
13776,0
13962,3
11828,4
12359,2
12601,2
2316,0
55,0
6199,0
12388,0
8025,0
7469,0
12498,0
2985,0
13593,0
7822,0
9183,3
13137,0
7697,0
7824,0
9309,0
2931,5
14486,0
14816,0
12478,0
9158,3
14114,0
2681,0
15041,0
14840,0
9272,7
7245,0
2513,0
9494,0
8638,0
13093,0
13584,6
6600,0
1762,0
13060,0
12452,0
14528,0
12741,0
2859,0
2348,0
7533,0
91,0
12397,3
14514,0
12288,0
13917,1
2949,0
6877,2
6715,3
6943,0
11857,0
14767,0
13017,0
6329,2
3075,0
11913,0
13224,0
8200,0
11783,0
12197,0
1763,0
6352,0
3256,0
2206,4
14154,1
13273,0
13070,0
11566,0
1734,4
13125,0
2058,1
12026,0
2596,0
2720,0
12347,0
8611,0
2353,0
6610,5
11814,0
14672,0
13196,0
14472,0
14573,3
8405,0
6350,0
9103,5
14806,0
14905,0
13967,0
13608,0
7898,0
9012,0
8601,0
8300,0
8135,3
6566,0
14784,7
12213,7
2409,5
13662,0
6310,0
6495,6
11884,6
11858,0
13255,4
13043,4
7110,0
13879,0
9228,0
11839,0
9051,5
12886,0
14878,0
2403,0
13344,0
15113,0
15045,0
2009,0
8089,0
2036,0
11959,4
3298,0
13640,0
8371,0
13867,4
13424,0
8188,0
9323,0
3125,0
12614,7
6839,1
2261,0
7046,0
13051,5
11819,0
7657,0
15101,0
12055,0
12244,0
2562,0
12475,0
6617,7
15197,5
12568,0
11845,6
6611,0
7985,0
2773,0
6768,0
12955,0
9260,0
14343,0
12971,0
11462,0
1999,7
8292,0
7801,0
6383,2
12300,0
2408,0
3161,0
13167,1
1948,0
8158,1
9245,6
13041,0
13378,1
12667,0
7128,0
